,text,IPA
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/846.wav,unknown,k r ɛ z ə n aɪ aː d ʌ z ʊ n t ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/764.wav,unknown,ɡ eː t ʌ l d eː t eː l θ k oː v ɔ d oː n uː k ts oː
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/667.wav,unknown,ɲ e t i ɭ e k a k s t v a ɑ l t ʊ ŋ ɡ l o f ɑ s ts i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/284.wav,unknown,n a z a d o n i m s i n d e n i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/671.wav,unknown,t l a ɡ ʎ o v o l n i m b o l a v z ð e i m n a x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/407.wav,unknown,f i z ɪ ɪ s k i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/545.wav,unknown,a v eː ts a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/408.wav,unknown,f a ɡ r ʌ m a t i k p r a v a n i e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/935.wav,unknown,m e f e k a p t e t e n a v e ʃ n o v aɪ ʃ e p e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/725.wav,unknown,n e s t ʌ ɡ ʌ ɭ ɑ s i n i s k e m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/912.wav,unknown,p a ŋ ɡ o l d a i s t f o l t r tʃ i l a n a ʃ i f f o l a n ə
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/33.wav,unknown,l e s n aː j e f k r a p a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/470.wav,unknown,s k o l k e s t o t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/143.wav,unknown,aː m y n eː t e m y n k l a r i ts e a m a ŋ ɡ o b b i t tʃ aɪ ɪ n s m a k r i z v a k ʌ n o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/584.wav,unknown,k r aɪ z ə v oː d s t u v a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/53.wav,unknown,k l ɔ v aɪ v i t ʃ e k r
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/907.wav,unknown,a z e t k a d e t e n e ɡ ə k r o f k a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/38.wav,unknown,p e k t a k ə l o ʒ ə n a tʃ a l s a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/738.wav,unknown,s e m e r f u n o d a ʃ i l ɑ s
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/821.wav,unknown,p k r a p o ʃ e n n aɪ p a r k r a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/401.wav,unknown,ɡ e d n e k l a n t a k l y
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/59.wav,unknown,a t f i tʃ ɛ t a k p a l ts ə
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/211.wav,unknown,l o a ɡ a z a l e s ts i l n e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/927.wav,unknown,k r a k a v i n a n e m o n t i l o s e s i m v a l e z o k t r o e t i z a n l a t o e s i e n e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/87.wav,unknown,w a l t uː d ɨ θ a x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/512.wav,unknown,k a k d ɔ l ɡ a ʒ u z ɛ d n z a k a z
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/984.wav,unknown,ɑ z e k r a v u l a n a p o l ɲ i n n a k r a z i n v a s o k s t a k r e m v a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/352.wav,unknown,m a l ɪ n v k eː j ʒ n ʃ e n ɪ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/549.wav,unknown,ʌ b t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/227.wav,unknown,o v a z i l l e d a m ɔ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/147.wav,unknown,l a d e n a t e m i ɲ e o ɡ a v a k r i l a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/91.wav,unknown,l ʌ s v eː t uː x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/271.wav,unknown,p oː θ t s t oː t r ɨ ɡ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/296.wav,unknown,p k r i e t u s z e s t a l o m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/524.wav,unknown,k a k ɔ j o ŋ v a l f x o b i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/928.wav,unknown,k a k r a k a n m o ʒ e t e k k r e ʒ i t e d e k k r o n o o v aɪ n u
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/397.wav,unknown,b r ʌ θ f ʌ p r ø n ɨ x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/653.wav,unknown,a v ʌ k r ʌ z ʌ k ʌ ʃ eɪ ʒ ʌ k r
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/5.wav,unknown,v a l t a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/495.wav,unknown,ʌ n n ə ŋ ɡ ə l eː t k eː z d a f k r a k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/760.wav,unknown,t ɔ v a k r z i d e l ʌ l k o v ʌ k r o k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/773.wav,unknown,k eɪ s ʌ t n a o ʃ n i k ʌ v
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/491.wav,unknown,ɔ n t oː n dʒ ɪ n t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/828.wav,unknown,k r e m aɪ j k r a n s ɪ n d a l t f e h eː
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/365.wav,unknown,ɡ ə ɡ r o ʃ a ts e k ts ə
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/476.wav,unknown,r e l a n i e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/500.wav,unknown,d e v ɡ r e k k r a s n a s p ɡ r a v ʌ l a r ts e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/623.wav,unknown,s ʌ n m i k r i s s
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/404.wav,unknown,a l o tʃ e t u n t ɛ v o l t s t ʊ v i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/34.wav,unknown,d ə v e ʒ e d n i a ŋ k ʌ k r a ɲ i tʃ e n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/685.wav,unknown,p e s i d e d e j e s f e a m i n o t o a t o v a s s u n o v a u m p a n d o d e v o v m a k r a k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/939.wav,unknown,a l d e j a n a n s k a m k a v a l a ʃ u v p e d e d e j e l n i k i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/596.wav,unknown,a v i d e l s ʌ n u n ɡ ʌ d t ʌ m ʌ j a x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/218.wav,unknown,ʎ o d i d o m a l i o l o t f e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/435.wav,unknown,p o k r aɪ z ə v oː d s t ʌ v a f
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/237.wav,unknown,i d n e k t r o k p k r i s k a k a k a m m ɲ e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/419.wav,unknown,p k r a d a ʒ a
