,text,IPA
0,радио,k r a n d i
1,это для обучения или экзамена,e t o d e l l a a v o l tʃ e ɲ i e i l e k u z a n m n e
2,"мне нужно добавить, медицина?",m ʌ ɲ e n o ʒ u d n a n t a b a v i t m i n d e t ts e n a
3,Клёвый вечер,k l ɔ v aɪ v i t ʃ e k r
4,Снежинки,n i r ʒ y n t i f
5,Это не имеет значения,e l t ʌ n i m e t u z y z n ʌ tʃ e ɲ i ɡ ʌ
6,Буквально,b o k ʌ v aː l i ts n ɑ
7,кроме,k ʌ t r o m e
8,отпечаток пальца,a t f i tʃ ɛ t a k p a l ts ə
9,зверёк,ð v i k r j ɔ k
10,животные,ʒ ø v ɔ t n aː j e
11,Гол как сокол,ʊ ŋ ɡ o l k a k ʃ a k o l
12,Аршин проглотил,a ɡ r ʌ f e n p k r a ɡ l a ts i l
13,Козёл отпущения,q a z a a t f o ʃ i n i j
14,Кричит во всю Ивановскую,p r e tʃ e t v a v ts u e v a n o v s k o o
15,Жив Курилка!,ʒ e v k o k r i l k a
16,Расчистить эти авгиевы конюшни,k r a s t e s ts i t e t i a v o ɡ i v y k a ɲ u f n i
17,Закадычный друг,e k a d e t ts i n eɪ t r o ŋ k
18,Попасть в просак,p a b aɪ s d ʌ v p k r a s a k
19,Злачное место,u z l aː tʃ n a j e m e s t a
20,Как буриданов осёл,k a k b u k r i d a n ʌ v a ʃ o l
21,Дойти до ручки,aɪ t i d o k r o l k i
22,Затрапезный вид,z a k r a t e z n i x v i d
23,Калиф на час,eː f ʌ n ʌ tʃ aː s
24,Сбить с панталыку,x e d i d p a n t a l e k o
25,Я его раскусил,i d a e v o k k l ʌ s k o s i
26,Глас вопиющего в пустыне,ɡ o l a ts l a k d e j o s e v a o v p o s t e e
27,Зарыть талант в землю,z a k r e t t a l a n t v e z e m l o
28,Затянул канитель,z a t i r n o l k a ɲ i t i
29,Довёл до белого каления,d a v i l d ɔ m b i l ʌ v a k a ʎ i n i e
30,Мыльная опера,m e l ə n a j a oː p e k k r a f
31,Скатертью дорожка!,s k a t e r t i o d a k l o ʒ k a
32,Петь Лазаря,p e t r l a z ʌ k r i
33,О чудесах,w a l t uː d ɨ θ a x
