,text,IPA
211,зло оказалось сильней,z l o a k a z a l a s s i l i n i
397,расширения,k l a θ s o k r e n i j a
653,переусердствовать,b e k r e s e r k r d s t ʌ v a v a t
404,получать удовольствие,p a l o tʃ e t o d a v o l s s t e v j e
596,любуясь ею,l o v o e s i x e ɡ o
537,давиться,d a v iː s a
441,помощь,f ɔ l m ʌ ʃ
427,характер,x a k r a k t e t r
318,серое утро,s e k r e e o k r a
304,не надо извиняться,ɲ e n aː d a i z v i ɲ e ts ʌ
902,лист бумагии использован в принтере бедный лист,ʎ i s t m v o m a ɡ i ɪ s t f o l e d a v a o v p k r e n t e k r e m b e d ə n i l i s t
428,кандидат,k a n d i d a t
доп2,все нейроны единственного слоя возвращают свои выходы и подают на свой вход и входы всех остальных нейронов сети посредством распределителей слоя,v y s e n e k r ɔ n i j e d i n s t v n ɔ v ʌ s l oː v ʌ z ə v uː k r a ʃ aɪ t v aɪ v y x a d i p o d aɪ o n a s ə v v x oː d i v x oː d ə v s e x s k a n x n i k r ɔ n ɔ v v s e t i p s k r i t s t v a k r e s p k r e d e d ts e l e s ʌ l oː e
350,уставший студент,o t a v ʃ i s t o d i n t
213,дракон внезапно улетел,d o k r a q o n v y n e z a f n a o l i ts e v
566,каждый человек,k a ʒ d e tʃ e l a v e k
345,онлайн курсы,o n l aɪ n q o k s e
342,начнётся пара,n a tʃ i n a j e ts e p a k r
145,но на поезде почти никогда не бывает аварий,n o n a p o e z i d e p e tʃ t i n i k a ɡ d a n e v o v a e t a v a k r i x
444,дойти,d aː ç d eː
300,дайте волку банан,d a t i v o l k o b a n a n
778,удлинитель тройной,o d l e n i t e l t k r aɪ n oɪ
249,хочу подойти,x a l t o v a n d a iː ç t i
400,телефон,d e l e f o n
849,сколько можно так делать,s k r o l k a m o ʒ ɯ n a t a k n t e l ɯ t
634,обрюзгший жир,a l b o k r ɑ t z u k s e ʒ y k r
936,ложка с дырками это дурной знак,l o v k a d e k k a r m i e t d o k r o n oɪ a z n a k
74,опростоволоситься,a v k r a s t a v a l oː ɬ i ts a
636,огурец,a ɡ o k r e t
305,хоршее заканчивается,x a k r o ʃ e j e z a k a n tʃ i v a j ts ʌ
802,автоэнкодерный метод обучения,a t aː j e n q o d o k r ʌ n i m e t e d ɑ b o e n i ɡ e
701,сказал сгоряча,s uː ɡ ð ɛ l s ə ŋ ɡ ʌ ɡ r i a
492,я езжу на автобусе,i ʎ a j e z ʒ o n aː a v t o v o l tʃ e
246,никто об этом не думал,n i k t o a v ø t ə m p n e t oː m a v
189,я всегда твердил,i x a v s e ŋ ɡ d a t ə v e k r e d i l
247,как хорошо жить на свете,k a k x a ɡ r o f o ʒ y t n a s e v e t e
590,кружка,k a k r o r f k a
558,зубная паста,z o v o n aː j a p a s t a
302,на перв\ месте,n a t e k r v a b m e s t i
695,сбыт,f θ ʌ b y t
793,банковская карта,b a n k a v s k aɪ e k a k r t a
592,лазурное море,l a z o k r o n n a ɡ e m o k r i
190,не выходи из комнаты,n e v e x a d e i z q o m n a t e
611,мошенник,m aɪ f eː n n i k
доп3,Официально-деловой стиль речи функциональная разновидность руского языка цель которой констатация чего-либо создание предписаний извещений вообще деловых документов фиксация договоров между сторонами официальной деятельности официально деловой стиль обслуживает сферу официально деловых отношений,a f i ts i a l n a d e l a v o s t i l k r i tʃ i f o n k ts j e a n a n e k r a z n a v i d n o s t k r o s k a v a ɡ e z e k a ts e l k a t o r e k a n s t a t a ts e a e v o l i b a s e z d a n i f k r i t p i s a n i i z e v i ʃ e n i v a s e d e l a v x d e k o m e n t o v s e k s e ts e d e ɡ v o t r o v m e v d o s t a k r a n a n i a f i ts i a l n d e i t i n e s t i a f i ts i l n d e l a v s t i b s l o r u v o t s e k r o a f e ts i a l n a d e l a v y x a t n a ʃ e n i
375,это значит,e d ɔ z ə n a l tʃ i t
467,обязательство,a b d e v aː t e r l i n a
166,как сказать ей об этом,k q a k s k r a z ɛ t i ʎ eː a b ø t ə m
649,парень,p a k r i n t
доп1,главная проблема для обучения нейронной ети требуется количество примеров превышающее количчество параметров нейронной сети,ɡ o l a v o z n a e p k r a v l d e m a t e l e o v o l t f e n i n e k o m e s i t e k r i v o e ts e k a l i tʃ i s t v a p k r i m k r o f p k r i v ʃ a o ʃ eː k a l i ts i s t v a o k r a m e k r o f n e k r a n e s i t i
181,устав от поднятой веком пыли,o t a v o l t p o d e n e t aɪ v e k a m p p l y
700,семеро козлят,s e m e k k r a k a z l a t
259,а художник должен быть здоровым,a x o d ɔ ʒ ʌ n i k d ɔ d ʒ ʌ d ə n v y t ɪ z ɪ d a k k r ɔ v y m
208,маг колдовал,m a ŋ ɡ k a t ɛ v a l
54,мой телефон теперь может дышать,m oɪ t i l e f o n t i p e k m o r s ə t d ə ʃ ɛ t
751,пальто семицветное,p a l t o s e m i ts e v e t n e ɡ e
581,конкурс,o l n q o k r i z
819,заполненный холодильник,z aː p v a l r ɲ e n n i x a l a l t i l n i k
421,повторение,p a v t a k r i n i j e
